2018-11-01 14:40:52,090 INFO  com.liveguru.TC_01_CostOfProduct - Before Class: Open Url of Login Page
2018-11-01 14:41:04,876 INFO  liveguru.pageobjects.HomePagePO - Wait until element with dynamic xpath: //nav[@id='nav']//a[text() = 'Mobile'] visible
2018-11-01 14:41:10,107 INFO  liveguru.pageobjects.HomePagePO - Click to element with dynamic xpath: //nav[@id='nav']//a[text() = 'Mobile']
2018-11-01 14:41:10,145 INFO  liveguru.pageobjects.MobilePagePO - Wait until element with dynamic xpath: //h2[a[text()='Sony Xperia']]/following-sibling::div//span[contains(@id,'product-price')] visible
2018-11-01 14:41:10,256 INFO  liveguru.pageobjects.MobilePagePO - Wait until element with dynamic xpath: //a[text()='Sony Xperia'] visible
2018-11-01 14:41:14,443 INFO  liveguru.pageobjects.MobilePagePO - Click to element with dynamic xpath: //a[text()='Sony Xperia']
2018-11-01 14:41:14,507 INFO  liveguru.pageobjects.DetailProductPagePO - Wait until element with xpath: //div[@class='product-name']/span visible
2018-11-01 14:41:14,525 INFO  liveguru.pageobjects.DetailProductPagePO - Wait until element with xpath: //div[@class='product-name']/span visible
2018-11-01 14:41:14,559 INFO  liveguru.pageobjects.DetailProductPagePO - Text of element with xpath: //div[@class='product-name']/span is SONY XPERIA
2018-11-01 14:41:14,592 INFO  liveguru.pageobjects.DetailProductPagePO - Wait until element with xpath: //span[contains(@id,'product-price')] visible
2018-11-01 14:41:14,611 INFO  liveguru.pageobjects.DetailProductPagePO - Wait until element with xpath: //span[contains(@id,'product-price')] visible
2018-11-01 14:41:14,649 INFO  liveguru.pageobjects.DetailProductPagePO - Text of element with xpath: //span[contains(@id,'product-price')] is $100.00
2018-11-01 14:41:14,656 INFO  com.liveguru.TC_01_CostOfProduct - SONY XPERIA is equals SONY XPERIA
2018-11-01 14:41:14,656 INFO  com.liveguru.TC_01_CostOfProduct - ----------------- PASSED -----------------
2018-11-01 14:41:14,656 INFO  com.liveguru.TC_01_CostOfProduct - $100.00 is equals $100.00
2018-11-01 14:41:14,657 INFO  com.liveguru.TC_01_CostOfProduct - ----------------- PASSED -----------------
2018-11-01 14:41:16,092 INFO  com.liveguru.TC_01_CostOfProduct - ---------- QUIT BROWSER SUCCESS ----------
2018-11-01 14:41:21,783 INFO  com.liveguru.TC_02_VerifyDiscountCoupon - Before Class: Open Url of Login Page
2018-11-01 14:41:30,195 INFO  liveguru.pageobjects.HomePagePO - Wait until element with dynamic xpath: //nav[@id='nav']//a[text() = 'Mobile'] visible
2018-11-01 14:41:34,799 INFO  liveguru.pageobjects.HomePagePO - Click to element with dynamic xpath: //nav[@id='nav']//a[text() = 'Mobile']
2018-11-01 14:41:34,838 INFO  liveguru.pageobjects.MobilePagePO - Wait until element with dynamic xpath: //h2[a[text()='IPhone']]/following-sibling::div[@class='actions']/button visible
2018-11-01 14:41:38,610 INFO  liveguru.pageobjects.MobilePagePO - Click to element with dynamic xpath: //h2[a[text()='IPhone']]/following-sibling::div[@class='actions']/button
2018-11-01 14:41:38,747 INFO  liveguru.pageobjects.CheckoutPagePO - Sendkey GURU50 to element with xpath: //input[@id='coupon_code']
2018-11-01 14:41:40,204 INFO  liveguru.pageobjects.CheckoutPagePO - Click to element with xpath: //button[@value='Apply']
2018-11-01 14:41:40,245 INFO  liveguru.pageobjects.CheckoutPagePO - Element with dynamic xpath: //td[contains(text(),'GURU50')]/following-sibling::td/spanis displayed
2018-11-01 14:41:40,245 INFO  com.liveguru.TC_02_VerifyDiscountCoupon - ----------------- PASSED -----------------
2018-11-01 14:41:41,216 INFO  com.liveguru.TC_02_VerifyDiscountCoupon - ---------- QUIT BROWSER SUCCESS ----------
2018-11-01 14:41:46,306 INFO  com.liveguru.TC_03_AddOverQuantiyInStock - Before Class: Open Url of Login Page
2018-11-01 14:41:54,604 INFO  liveguru.pageobjects.HomePagePO - Wait until element with dynamic xpath: //nav[@id='nav']//a[text() = 'Mobile'] visible
2018-11-01 14:41:58,932 INFO  liveguru.pageobjects.HomePagePO - Click to element with dynamic xpath: //nav[@id='nav']//a[text() = 'Mobile']
2018-11-01 14:41:58,982 INFO  liveguru.pageobjects.MobilePagePO - Wait until element with dynamic xpath: //h2[a[text()='Sony Xperia']]/following-sibling::div[@class='actions']/button visible
